FIPS code,Income Year,PerCapita Income
05007,2023,382901.46
05009,2023,17156.52
05011,2023,4888.98
05013,2023,2275.82
05015,2023,11962.33
05017,2023,4753.25
05019,2023,9445.03
05021,2023,6537.03
05023,2023,13067.32
05025,2023,3762.47
05027,2023,10752.15
05029,2023,10425.63
05031,2023,56569.36
05033,2023,26981.17
05035,2023,22283.02
05037,2023,7479.84
05039,2023,3024.04
05041,2023,5401.61
05043,2023,8257.38
05045,2023,66297.71
05047,2023,7501.49
05049,2023,4498.62
05051,2023,52392.94
05053,2023,9215.09
05055,2023,20431.56
05057,2023,8127.04
05059,2023,13281.8
05061,2023,5553.56
05063,2023,18132.4
05065,2023,5423.97
05067,2023,8331.23
05069,2023,27403.75
05071,2023,9288.56
05073,2023,3054.16
05075,2023,7104.28
05077,2023,3067.32
05079,2023,4200.29
05081,2023,5044.35
05083,2023,8691.22
05085,2023,39454.31
05087,2023,7585.2
05089,2023,6859.07
05091,2023,17938.51
05093,2023,18263.05
05095,2023,2963.66
05097,2023,3479.64
05099,2023,3240.22
05101,2023,2807.5
05103,2023,11150.73
05105,2023,4874.85
05107,2023,6968.22
05109,2023,4326.27
05111,2023,10470.56
05113,2023,7747.82
05115,2023,28316.09
05117,2023,3947.55
05119,2023,263410.08
05121,2023,7773.06
05123,2023,8266.03
05125,2023,71072.21
05127,2023,3840.16
05129,2023,2788.2
05131,2023,64998.11
05133,2023,6713.37
05135,2023,7814.53
05137,2023,4951.14
05139,2023,21255.75
05141,2023,6767.76
05143,2023,135474.5
05145,2023,36298.73
05147,2023,3428.81
05149,2023,8853.52
06001,2023,1730182.84
06003,2023,860.26
06005,2023,20914.04
06007,2023,117771.88
06009,2023,27205.75
06011,2023,12848.25
06013,2023,1192193.94
06015,2023,12534.32
06017,2023,162484.84
06019,2023,536330.38
06021,2023,14912.09
06023,2023,76725.25
06025,2023,85930.81
06027,2023,11902.91
06029,2023,432696.75
06031,2023,67171.29
06033,2023,32716.07
06035,2023,12622.59
06037,2023,7566594.81
06039,2023,76068.87
06041,2023,459396.19
06043,2023,11068.9
06045,2023,52617.89
06047,2023,136192.68
06049,2023,5157.32
06051,2023,9237.52
06053,2023,296952.03
06055,2023,126518.83
06057,2023,77077.51
06059,2023,2787605.87
06061,2023,361147.25
06063,2023,12407.59
06065,2023,1339685.57
06067,2023,1031437.49
06069,2023,45206.77
06071,2023,1124027.97
06073,2023,2587253.73
06075,2023,1333272.37
06077,2023,475459.01
06079,2023,204810.86
06081,2023,1255339.45
06083,2023,365079.33
06085,2023,2835225.48
06087,2023,231681.87
06089,2023,103956.99
06091,2023,1704.04
06093,2023,23620.11
06095,2023,289810.36
06097,2023,401871.89
06099,2023,292580.3
06101,2023,52794.11
06103,2023,31970.93
06105,2023,5992.66
06107,2023,231358.29
06109,2023,30483.81
06111,2023,647839.0
06113,2023,149479.86
06115,2023,43363.77
08001,2023,313891.71
