FIPS code,Income Year,PerCapita Income
13029,2022,28147.58
13031,2022,32818.9
13033,2022,10351.15
13035,2022,11204.97
13037,2022,1887.98
13039,2022,25528.06
13043,2022,4555.82
13045,2022,62157.62
13047,2022,30202.7
13049,2022,4038.74
13051,2022,170609.25
13053,2022,3302.49
13055,2022,9263.77
13057,2022,189286.71
13059,2022,54683.0
13061,2022,1090.9
13063,2022,101076.65
13065,2022,2937.25
13067,2022,553789.64
13069,2022,17005.16
13071,2022,19025.0
13073,2022,96042.43
13075,2022,6851.74
13077,2022,90539.22
13079,2022,4970.07
13081,2022,9105.54
13083,2022,6819.22
13085,2022,18167.96
13087,2022,12493.77
13089,2022,492633.04
13091,2022,7232.86
13093,2022,4835.48
13095,2022,38071.02
13097,2022,64517.78
13099,2022,4638.81
13101,2022,1229.55
13103,2022,33691.83
13105,2022,8571.19
13107,2022,9090.67
13109,2022,4333.75
13111,2022,13160.67
13113,2022,89848.99
13115,2022,44082.42
13117,2022,213811.52
13119,2022,10753.18
13121,2022,1079892.35
13123,2022,14880.07
13125,2022,1164.14
13127,2022,50799.74
13129,2022,26712.55
13131,2022,9997.58
13133,2022,15978.42
13135,2022,504964.68
13137,2022,19246.85
13139,2022,121462.26
13141,2022,3046.55
13143,2022,14184.69
13145,2022,20782.18
13147,2022,12410.91
13149,2022,4819.81
13151,2022,118248.27
13153,2022,82344.23
13155,2022,4012.6
13157,2022,47238.15
13159,2022,7514.06
13161,2022,5606.38
13163,2022,6490.97
13165,2022,3168.74
13167,2022,2994.97
13169,2022,12576.94
13171,2022,8642.45
13173,2022,3490.36
13175,2022,21463.97
13177,2022,17441.2
13179,2022,27265.8
13181,2022,3665.37
13183,2022,7211.83
13185,2022,52382.87
13187,2022,16314.46
13189,2022,9396.11
13191,2022,5469.62
13193,2022,5200.26
13195,2022,14839.39
13197,2022,2867.38
13199,2022,9309.23
13201,2022,3020.18
13205,2022,9621.87
13207,2022,16124.97
13209,2022,3189.71
13211,2022,12886.33
13213,2022,15453.48
13215,2022,99660.85
13217,2022,49516.56
13219,2022,36323.45
13221,2022,7309.05
13223,2022,85207.55
13225,2022,12698.81
13227,2022,21095.09
13229,2022,8458.42
13231,2022,10090.58
13233,2022,17673.13
13235,2022,4082.04
13237,2022,12928.51
13239,2022,862.26
13241,2022,8908.73
13243,2022,2640.62
13245,2022,90353.9
13247,2022,39640.12
13249,2022,1993.21
13251,2022,5764.01
13253,2022,4130.48
13255,2022,29583.67
13257,2022,12145.97
13259,2022,1683.47
13261,2022,12676.55
13263,2022,2642.14
13265,2022,699.74
13267,2022,8854.51
13269,2022,2988.89
13271,2022,3584.5
13273,2022,4130.5
13275,2022,24724.85
13277,2022,19054.76
13279,2022,11489.99
13281,2022,6243.9
13283,2022,2501.68
13285,2022,31843.41
13287,2022,3401.94
13289,2022,3373.42
13291,2022,12014.88
13293,2022,11839.59
13295,2022,29525.03
13297,2022,54120.14
13299,2022,13956.84
13301,2022,2128.17
13303,2022,8259.68
13305,2022,11786.02
13307,2022,931.52
13309,2022,1715.4
13311,2022,14003.5
13313,2022,47689.91
13315,2022,2957.16
13317,2022,5015.03
13319,2022,3667.81
13321,2022,8522.37
15001,2022,104326.92
15003,2022,653681.47
15007,2022,43041.53
15901,2022,99489.02
16001,2022,359589.55
16003,2022,2102.12
16005,2022,43031.94
16007,2022,3235.73
16009,2022,4533.87
16011,2022,23958.02
16013,2022,43565.73
16015,2022,4382.97
16017,2022,27297.95
16019,2022,74507.67
16021,2022,6096.18
16023,2022,1435.37
16025,2022,744.28
16027,2022,116212.6
16029,2022,3575.43
16031,2022,13959.43
16033,2022,403.26
16035,2022,3858.94
16037,2022,2273.03
16039,2022,13249.86
16041,2022,6890.8
16043,2022,6415.63
16045,2022,9421.87
16047,2022,11618.22
16049,2022,7755.73
16051,2022,15868.08
16053,2022,12017.52
16055,2022,109924.93
16057,2022,21312.07
16059,2022,4356.57
16061,2022,2216.71
16063,2022,2808.0
16065,2022,15450.32
16067,2022,11036.8
16069,2022,23077.85
16071,2022,2248.49
16073,2022,6225.56
16075,2022,13043.45
16077,2022,4031.59
16079,2022,6194.87
16081,2022,8102.44
16083,2022,47203.97
16085,2022,7823.88
16087,2022,4885.12
17001,2022,36944.31
17003,2022,2407.94
17005,2022,7567.7
17007,2022,29488.89
17009,2022,2982.23
17011,2022,17084.43
17013,2022,2491.8
17015,2022,8117.77
17017,2022,6463.6
17019,2022,114805.05
17021,2022,16899.75
17023,2022,8019.16
17025,2022,6566.45
17027,2022,22326.07
17029,2022,24570.28
17031,2022,3765889.94
17033,2022,10609.19
17035,2022,9692.21
17037,2022,51358.82
17039,2022,8903.95
17041,2022,13593.03
17043,2022,835022.4
17045,2022,9446.05
17047,2022,3096.94
17049,2022,22116.6
17051,2022,9734.35
17053,2022,9277.61
17055,2022,17092.9
17057,2022,16012.39
17059,2022,2686.61
17061,2022,6301.11
17063,2022,31665.27
17065,2022,4275.74
17067,2022,9966.65
17069,2022,1859.46
17071,2022,3610.24
17073,2022,27636.54
17075,2022,15195.95
17077,2022,24744.05
17079,2022,5233.83
17081,2022,17462.31
17083,2022,11334.72
17085,2022,12588.34
17087,2022,5267.94
17089,2022,332523.64
17091,2022,54300.49
17093,2022,80342.47
17095,2022,23263.36
17097,2022,668253.26
17099,2022,58387.17
17101,2022,6246.34
17103,2022,17692.64
17105,2022,20350.63
17107,2022,13479.42
17109,2022,13223.89
17111,2022,205774.43
17113,2022,100889.68
17115,2022,58252.49
17117,2022,22955.98
17119,2022,149619.64
17121,2022,18832.82
17123,2022,6598.54
17125,2022,7163.46
17127,2022,6388.6
17129,2022,6960.74
17131,2022,9322.52
17133,2022,24526.61
17135,2022,12223.78
17137,2022,16465.28
17139,2022,12056.55
17141,2022,28390.47
17143,2022,104271.95
17145,2022,9489.23
17147,2022,11385.91
17149,2022,8086.24
17151,2022,1425.43
17153,2022,2261.38
17155,2022,3753.62
17157,2022,14082.75
17159,2022,8159.08
17161,2022,70719.2
17163,2022,141822.78
17165,2022,11220.16
17167,2022,111719.97
17169,2022,3612.28
17171,2022,2705.01
17173,2022,11028.01
17175,2022,3324.21
17177,2022,23089.01
17179,2022,74005.36
17181,2022,8209.6
17183,2022,35857.97
17185,2022,5799.62
17187,2022,9224.32
17189,2022,8339.62
17191,2022,8050.82
17193,2022,8156.91
17195,2022,28849.97
17197,2022,452037.5
17199,2022,35315.63
17201,2022,144069.46
17203,2022,24322.05
18001,2022,18120.12
18003,2022,228786.22
18005,2022,52411.35
18007,2022,4776.18
18009,2022,5418.89
18011,2022,68690.58
18013,2022,9196.79
18015,2022,10539.13
18017,2022,17860.95
18019,2022,66765.18
18021,2022,12002.0
18023,2022,15405.74
18025,2022,4417.69
18027,2022,19583.88
18029,2022,29676.15
18031,2022,14172.08
18033,2022,24276.02
18035,2022,51493.88
18037,2022,28621.55
18039,2022,121732.32
18041,2022,11169.06
18043,2022,51191.44
18045,2022,8550.24
18047,2022,12835.07
18049,2022,10214.88
18051,2022,18611.18
18053,2022,31596.51
18055,2022,15848.75
18057,2022,344361.87
18059,2022,52520.89
18061,2022,21932.68
18063,2022,108922.75
18065,2022,23010.08
18067,2022,40095.41
18069,2022,18788.22
18071,2022,23213.23
18073,2022,19483.65
18075,2022,11154.83
18077,2022,17339.82
18079,2022,13851.43
18081,2022,98431.66
18083,2022,19557.01
18085,2022,46964.91
18087,2022,22373.83
18089,2022,268353.5
18091,2022,56920.72
18093,2022,23702.85
18095,2022,61681.0
18097,2022,665061.39
18099,2022,24836.1
18101,2022,5219.79
18103,2022,14606.9
18105,2022,76510.53
18107,2022,19314.55
18109,2022,39497.3
18111,2022,7341.66
18113,2022,24151.4
18115,2022,3177.67
18117,2022,9057.95
18119,2022,10774.61
18121,2022,8189.54
18123,2022,8658.8
18125,2022,5934.42
18127,2022,111234.65
18129,2022,14854.55
18131,2022,7002.16
18133,2022,17520.72
18135,2022,12961.17
18137,2022,14880.84
18139,2022,9266.61
18141,2022,154249.58
18143,2022,11055.08
18145,2022,24216.39
18147,2022,10816.44
18149,2022,9864.09
18151,2022,19073.57
18153,2022,9104.87
18155,2022,4255.37
18157,2022,89582.51
18159,2022,7789.63
18161,2022,3463.17
18163,2022,102241.43
18165,2022,7214.73
18167,2022,49469.25
18169,2022,16537.88
18171,2022,4623.59
18173,2022,44268.45
18175,2022,14170.52
18177,2022,33153.95
18179,2022,14741.69
18181,2022,13324.77
18183,2022,19300.23
19001,2022,5112.94
19003,2022,2404.17
19005,2022,7920.04
19007,2022,5748.28
19009,2022,4019.19
19011,2022,18060.39
19013,2022,69650.81
19015,2022,14674.92
19017,2022,15221.66
19019,2022,12932.6
19021,2022,11410.27
19023,2022,8830.42
